,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Souls
4087,20001214X42386,Accident,DCA83AA019,1983-03-11,"FORT BELVOIR, VA",United States,Non-Fatal,Substantial,Other,N120AE,Piper,PA-31-350-T1020,No,2.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,VMC,2.0
4091,20001214X42419,Accident,FTW83FA149,1983-03-12,"KINGSTON, OK",United States,Fatal(3),Destroyed,Other,N43480,Piper,PA-34-200,No,2.0,Reciprocating,Personal,3.0,2.0,0.0,0.0,VMC,5.0
4099,20001214X42548,Accident,NYC83FA074,1983-03-12,"ALBANY, NY",United States,Non-Fatal,Substantial,Other,N1011N,Swearingen,SA226TC,No,2.0,Turbo Prop,Unknown,0.0,0.0,8.0,6.0,IMC,14.0
4117,20001214X42354,Accident,CHI83FA138,1983-03-14,"WHEELING, IL",United States,Non-Fatal,Substantial,Other,N60801,Piper,PA-601P,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,1.0
4126,20001214X42355,Accident,CHI83FA139,1983-03-15,"MIWAULKEE, WI",United States,Non-Fatal,Substantial,Other,N6838S,Beechcraft,58,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,1.0
4127,20001214X42539,Incident,MKC83IA078,1983-03-16,"KANSAS CITY, KS",United States,Incident,Minor,Other,N200DT,Aero Commander,680W,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,1.0
4134,20001214X42443,Accident,FTW83LA158,1983-03-16,"OKLAHOMA CITY, OK",United States,Non-Fatal,Substantial,Other,N879SW,Piper,PA-31T1,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,3.0,IMC,3.0
4135,20001214X42442,Accident,FTW83LA157,1983-03-16,"HOUSTON, TX",United States,Non-Fatal,Substantial,Other,N999ST,Gulfstream,COMMANDER 695,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,4.0,IMC,4.0
4148,20001214X42549,Accident,NYC83FA078,1983-03-18,"NORTH ADAMS, MA",United States,Fatal(2),Destroyed,Other,N473MA,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Executive/corporate,2.0,0.0,0.0,0.0,VMC,2.0
4155,20001214X42408,Accident,DEN83LA081,1983-03-18,"GUNNISON, CO",United States,Non-Fatal,Substantial,Other,N67943,Cessna,421C,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,7.0,VMC,7.0
4156,20001214X42399,Accident,DEN83FTE08,1983-03-18,"FORT COLLINS, CO",United States,Non-Fatal,Substantial,Other,N181RS,Mitsubishi,MU-2B-40,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,6.0,IMC,6.0
4157,20001214X42519,Incident,MIA83IA098,1983-03-19,"NEAR TAYLOR, FL",United States,Incident,Minor,Other,N65PB,Cessna,402C,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,5.0,VMC,5.0
4162,20001214X42530,Accident,MIA83LA102,1983-03-19,"LAKELAND, FL",United States,Non-Fatal,Substantial,Other,N3147G,Gemini Int'L.,HUMINGBIRD,No,2.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2.0
4178,20001214X42552,Incident,NYC83IA080,1983-03-21,"BLUE BELL, PA",United States,Incident,Minor,Other,N420WA,Britten-Norman,BN-2 MARK III,No,3.0,Reciprocating,Unknown,0.0,0.0,2.0,11.0,IMC,13.0
4180,20001214X42400,Incident,DEN83IA083,1983-03-21,"DENVER, CO",United States,Incident,Minor,Other,N7358F,Boeing,737-200,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,82.0,VMC,82.0
4189,20001214X42387,Accident,DCA83AA021,1983-03-23,"CASPER, WY",United States,Non-Fatal,Minor,Other,N7381F,Boeing,737-2H4,No,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,95.0,VMC,96.0
4195,20001214X42448,Accident,FTW83LA165,1983-03-23,HIGH ISLAND,HIGH ISLAND,Non-Fatal,Substantial,Other,N417EM,Beechcraft,200,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,8.0,VMC,8.0
4196,20001214X42541,Incident,MKC83IA200,1983-03-24,"SPRINGFIELD, MO",United States,Incident,Minor,Other,N38941,McDonnell Douglas,DC-3,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,29.0,VMC,29.0
4199,20001214X42388,Accident,DCA83AA022,1983-03-24,"JEFFERSONVILLE, GA",United States,Fatal(4),Destroyed,Other,N72B,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Unknown,4.0,0.0,0.0,0.0,UNK,4.0
4200,20001214X42500,Accident,LAX83LA157,1983-03-24,"NEAR GLOBE, AZ",United States,Non-Fatal,Substantial,Other,N401G,Cessna,401,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
4203,20001214X42516,Accident,MIA83FA101,1983-03-25,"SILVER SPRINGS, FL",United States,Non-Fatal,Destroyed,Other,N2524S,Cessna,C-337C,No,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,2.0
4225,20001214X42333,Accident,ATL83FA145,1983-03-27,"ROANOKE, VA",United States,Fatal(5),Destroyed,Other,N5885V,Piper,PA-34-200T,No,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,5.0
4226,20001214X42532,Accident,MIA83LA105,1983-03-27,"OCALA, FL",United States,Non-Fatal,Substantial,Other,N123WK,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,4.0,IMC,4.0
4241,20001214X42507,Accident,LAX83LA167,1983-03-29,"LOST HILLS, CA",United States,Non-Fatal,Substantial,Other,N9092Q,Beechcraft,A56TC,No,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,3.0
4244,20001214X42540,Incident,MKC83IA083,1983-03-30,"DES MOINES, IA",United States,Incident,Minor,Other,N7441U,Boeing,727-222,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,44.0,IMC,44.0
4250,20001214X42389,Accident,DCA83AA023,1983-03-30,"NEWARK, NJ",United States,Fatal(2),Destroyed,Other,N51CA,Gates Learjet,25,No,2.0,Turbo Jet,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
4273,20001214X42666,Accident,FTW83FA175,1983-04-01,"EAGLE PASS, TX",United States,Fatal(4),Destroyed,Other,N700CW,Cessna,500,No,2.0,Turbo Fan,Executive/corporate,4.0,0.0,0.0,0.0,VMC,4.0
4280,20001214X42824,Accident,SEA83LA070,1983-04-01,"DIXIE, ID",United States,Non-Fatal,Substantial,Other,N2958W,Partenavia,P68C/TC,No,2.0,Reciprocating,Unknown,0.0,0.0,1.0,4.0,VMC,5.0
4295,20001214X42668,Accident,FTW83FA178,1983-04-03,"DALHART, TX",United States,Fatal(1),Destroyed,Other,N6831T,Cessna,T310R,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,UNK,1.0
4297,20001214X42727,Accident,LAX83LA183,1983-04-03,"HILMAR, CA",United States,Non-Fatal,Substantial,Other,N4060C,Cessna,T310R,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,4.0
4300,20001214X42757,Incident,MIA83IA117,1983-04-04,"NEAR ORLANDO, FL",United States,Incident,Minor,Other,N369XL,Gates Learjet,35A,No,2.0,Turbo Fan,Ferry,0.0,0.0,0.0,2.0,VMC,2.0
4308,20001214X42758,Accident,MIA83LA111,1983-04-05,"TAMPA, FL",United States,Non-Fatal,Destroyed,Other,N6079R,Piper,PA-60-601P,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,2.0
